vg_img_id	vg_object_id	cat	synset	url	responses
2340044	2088324	singleton_obj	furnishing.n.02	http://object-naming-amore.upf.edu//2340044_2088324_singleton_obj.png	Counter({'table': 3, 'stand': 2, 'furniture': 1, 'television stand': 1, 'entertainment center': 1, 'cabinet': 1})
2402232	1138783	singleton_obj	woman.n.01	http://object-naming-amore.upf.edu//2402232_1138783_singleton_obj.png	Counter({'woman': 7, 'person': 1, 'carrier': 1})
2363487	764710	seed_ambiguous	furnishing.n.02	http://object-naming-amore.upf.edu//2363487_764710_seed_ambiguous.png	Counter({'rug': 8, 'couch': 1})
2370423	3324718	supercat_unique	crockery.n.01	http://object-naming-amore.upf.edu//2370423_3324718_supercat_unique.png	Counter({'#occlusion': 4, '#bbox': 2, 'container': 1, 'dish': 1, 'plate': 1})
2375187	2283941	supercat_ambiguous	bird.n.01	http://object-naming-amore.upf.edu//2375187_2283941_supercat_ambiguous.png	Counter({'bird': 9})
1394	1542927	seed_ambiguous	furnishing.n.02	http://object-naming-amore.upf.edu//1394_1542927_seed_ambiguous.png	Counter({'desk': 7, 'table': 1, 'counter': 1})
2417913	3178849	singleton_obj	train.n.01	http://object-naming-amore.upf.edu//2417913_3178849_singleton_obj.png	Counter({'train': 9})
2377534	2110206	singleton_obj	boat.n.01	http://object-naming-amore.upf.edu//2377534_2110206_singleton_obj.png	Counter({'boat': 9})
2344333	2609152	supercat_unique	baked_goods.n.01	http://object-naming-amore.upf.edu//2344333_2609152_supercat_unique.png	Counter({'bread': 7, 'bun': 1, 'sandwich': 1})
2404189	345509	singleton_obj	shirt.n.01	http://object-naming-amore.upf.edu//2404189_345509_singleton_obj.png	Counter({'shirt': 7, 'jersey': 2})
2331689	2749423	singleton_obj	male_child.n.01	http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png	Counter({'boy': 3, 'player': 2, 'baseballe player': 1, 'kid': 1, 'child': 1, 'tee ball': 1})
2402893	385278	supercat_unique	shirt.n.01	http://object-naming-amore.upf.edu//2402893_385278_supercat_unique.png	Counter({'arm': 2, 'shirt': 2, 'hoodie': 2, 'sweatshirt': 1, 'jacket': 1, 'sweater': 1})
2384149	3847243	seed_ambiguous	furnishing.n.02	http://object-naming-amore.upf.edu//2384149_3847243_seed_ambiguous.png	Counter({'#occlusion': 4, '#bbox': 2, 'food': 2, 'sandwich': 1})
2330791	2836865	singleton_obj	bird.n.01	http://object-naming-amore.upf.edu//2330791_2836865_singleton_obj.png	Counter({'bird': 8, 'pigeon': 1})
2340405	947735	singleton_obj	vessel.n.03	http://object-naming-amore.upf.edu//2340405_947735_singleton_obj.png	Counter({'sink': 3, 'tub': 3, 'bathtub': 3})
2371338	598320	singleton_obj	truck.n.01	http://object-naming-amore.upf.edu//2371338_598320_singleton_obj.png	Counter({'truck': 4, 'car': 3, 'vehicle': 2})
2333081	3137413	supercat_unique	beverage.n.01	http://object-naming-amore.upf.edu//2333081_3137413_supercat_unique.png	Counter({'drink': 5, 'cup': 2, 'glass': 1, '#bbox': 1})
2394070	467349	singleton_obj	furnishing.n.02	http://object-naming-amore.upf.edu//2394070_467349_singleton_obj.png	Counter({'desk': 6, 'table': 2, 'laptop': 1})
2365226	3885362	singleton_obj	furnishing.n.02	http://object-naming-amore.upf.edu//2365226_3885362_singleton_obj.png	Counter({'bunkbed': 3, 'bed': 2, 'beds': 2, 'bunk beds': 1, 'bunk bed': 1})
2333613	3011082	singleton_obj	horse.n.01	http://object-naming-amore.upf.edu//2333613_3011082_singleton_obj.png	Counter({'horse': 8, 'hours': 1})
2409508	240326	supercat_unique	vessel.n.03	http://object-naming-amore.upf.edu//2409508_240326_supercat_unique.png	Counter({'wine': 4, 'bottle': 4, 'wine bottle': 1})
2386872	516353	singleton_obj	furnishing.n.02	http://object-naming-amore.upf.edu//2386872_516353_singleton_obj.png	Counter({'bench': 8, '#bbox': 1})
2357342	3554735	singleton_obj	car.n.01	http://object-naming-amore.upf.edu//2357342_3554735_singleton_obj.png	Counter({'truck': 9})
2349243	876260	singleton_obj	ungulate.n.01	http://object-naming-amore.upf.edu//2349243_876260_singleton_obj.png	Counter({'giraffe': 8, 'horse': 1})
2378986	1362259	supercat_unique	vegetable.n.01	http://object-naming-amore.upf.edu//2378986_1362259_supercat_unique.png	Counter({'salad': 6, 'food': 2, 'broccoli': 1})
