items
"[['http://object-naming-amore.upf.edu//2356311_2693583_supercat_ambiguous.png', ['beans', 'vegetable', 'green beans', 'food', 'forty', 'plate', 'green bean', 'bean', 'flower', 'passway'], '7b2270617373776179223a2022636f7572696572222c2022666f727479223a2022636f7572696572222c20226265616e223a2022626f6c642d6265616e73227d']]"
"[['http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png', ['cat', 'dog', 'teddy bear', 'doll', 'teddy', 'tracks', 'bear', 'toy', 'button', 'stuffed animal'], '7b22747261636b73223a20227365726966222c2022627574746f6e223a20227365726966227d']]"
"[['http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png', ['window', 'car', 'ladel', 'gas station', 'bike', 'bridge', 'building', 'ufo', 'canopy', 'motorcycle'], '7b2275666f223a2022636f7572696572222c20226c6164656c223a2022636f7572696572222c202262696b65223a2022626f6c642d6d6f746f726379636c65227d']]"
"[['http://object-naming-amore.upf.edu//2340044_2088324_singleton_obj.png', ['cd', 'table', 'console', 'shelf', 'cabihet', 'entertainment center', 'cabinet', 'stand', 'hatstand', 'furniture'], '7b2263616269686574223a202273616e732d636162696e6574222c20226364223a20227365726966222c2022636f6e736f6c65223a2022626f6c642d636162696e6574227d']]"
"[['http://object-naming-amore.upf.edu//2352294_3783929_supercat_unique.png', ['tie', 'suit', 'shirt', 'man', 'blazer', 'coat', 'jacket', 'hair', 'court', 'anoven'], '7b2268616972223a20227365726966222c2022616e6f76656e223a2022636f7572696572227d']]"
"[['http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png', ['airplane', 'helicopter', 'akrplane', 'leftleg', 'truck', 'wheel', 'bike', 'boat', 'man', 'plane'], '7b22616b72706c616e65223a202273616e732d616972706c616e65222c20226c6566746c6567223a2022636f7572696572222c2022706c616e65223a2022626f6c642d616972706c616e65227d']]"
"[['http://object-naming-amore.upf.edu//712987_1577034_seed_ambiguous.png', ['skire', 'pant', 'pole', 'skier', 'ski', 'men', 'jacket', 'person', 'woman', 'human', 'helmet', 'shoe'], '7b22736b697265223a202273616e732d736b696572222c2022736b69223a20227365726966222c2022736b696572223a2022617269616c222c202268756d616e223a2022626f6c642d6d656e227d']]"
"[['http://object-naming-amore.upf.edu//2398907_2901496_singleton_obj.png', ['batter', 'dress', 'boy', 'helmet', 'man', 'player', 'ground', 'part', 'baseball player', 'child', 'kid'], '7b2270617274223a20227365726966222c202267726f756e64223a20227365726966222c20226368696c64223a2022626f6c642d6b6964227d']]"
"[['http://object-naming-amore.upf.edu//2345825_1862256_supercat_ambiguous.png', ['chili dog', 'plate', 'paper', 'chili', 'chilidog', 'food', 'sauce', 'toppings', 'cheese', 'bread', 'hotdog'], '7b227061706572223a20227365726966222c20226272656164223a20227365726966227d']]"
"[['http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png', ['dress', 'children', 'kid', 'head', 'child', 'chair', 'boy', 'bench', 'shirt', 'shoe'], '7b2268656164223a20227365726966222c20226368616972223a20227365726966222c20226368696c6472656e223a2022626f6c642d6368696c642c6b6964227d']]"
