items,quality_control
"[['http://object-naming-amore.upf.edu//2324115_988507_singleton_obj.png', ['person', 'heaband', 'woman', 'girl']], ['http://object-naming-amore.upf.edu//2343856_919313_supercat_ambiguous.png', ['plane', 'airplane', 'jet', 'back']], ['http://object-naming-amore.upf.edu//1592491_1609936_singleton_obj.png', ['mileage', 'plane', 'airplane', 'jet']], ['http://object-naming-amore.upf.edu//2363088_3747220_singleton_obj.png', ['surfer', 'person', 'woman', 'girl', 'srufer']], ['http://object-naming-amore.upf.edu//2396676_1196101_supercat_unique.png', ['vehicle', 'suv', 'jeep', 'truck', 'tree', 'car']], ['http://object-naming-amore.upf.edu//2391754_1237759_singleton_obj.png', ['boy', 'person', 'skater', 'skateboarder', 'helmet', 'kid', 'outfit', 'child', 'girl']]]","['7b2268656162616e64223a2022636f7572696572227d', '7b226261636b223a20227365726966222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b226d696c65616765223a2022636f7572696572222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b22737275666572223a202273616e732d737572666572227d', '7b2274726565223a20227365726966227d', '7b226f7574666974223a20227365726966222c20226b6964223a2022626f6c642d6368696c64227d']"
"[['http://object-naming-amore.upf.edu//2350299_2367609_singleton_obj.png', ['beanie', 'hat', 'cap', 'mouth']], ['http://object-naming-amore.upf.edu//285965_1570871_seed_ambiguous.png', ['phone', 'furniture', 'couch', 'sofa']], ['http://object-naming-amore.upf.edu//2329905_3415994_singleton_obj.png', ['cofree', 'coffee', 'cup', 'mug']], ['http://object-naming-amore.upf.edu//2409537_239712_singleton_obj.png', ['girl', 'woman', 'phone', 'person', 'goodies']], ['http://object-naming-amore.upf.edu//2318752_2905144_supercat_unique.png', ['pizza tray', 'tray', 'pizza', 'plate', 'hammer', 'pan']], ['http://object-naming-amore.upf.edu//2370986_2676976_singleton_obj.png', ['boy', 'skater', 't-shirt', 'rust', 'person', 'man', 'skateboarder', 'sky board', 'shoe']]]","['7b226d6f757468223a2022636f7572696572227d', '7b2270686f6e65223a20227365726966222c2022636f756368223a2022626f6c642d736f6661227d', '7b22636f66726565223a202273616e732d636f66666565227d', '7b22676f6f64696573223a2022636f7572696572227d', '7b2268616d6d6572223a2022636f7572696572227d', '7b2272757374223a2022636f7572696572227d']"
"[['http://object-naming-amore.upf.edu//2343197_2024339_supercat_unique.png', ['jacket', 'blazer', 'coat', 'blzer']], ['http://object-naming-amore.upf.edu//2359629_1792581_singleton_obj.png', ['person', 'woman', 'lady', 'womna']], ['http://object-naming-amore.upf.edu//2356287_821918_supercat_unique.png', ['girl', 'sofa', 'couch', 'laptop']], ['http://object-naming-amore.upf.edu//2354312_2538827_singleton_obj.png', ['hashtag', 'mat', 'carpet', 'floor', 'rug']], ['http://object-naming-amore.upf.edu//2359524_792705_singleton_obj.png', ['food', 'mat', 'hotdog', 'burger', 'bread', 'bun']], ['http://object-naming-amore.upf.edu//1592967_2310042_singleton_obj.png', ['man', 'boy', 'keyboard', 'skeyboard', 'laptop', 't-shirt', 'guy', 'bottle', 'person']]]","['7b22626c7a6572223a202273616e732d626c617a6572227d', '7b22776f6d6e61223a202273616e732d776f6d616e227d', '7b226769726c223a20227365726966222c2022636f756368223a2022626f6c642d736f6661227d', '7b2268617368746167223a2022636f7572696572222c2022636172706574223a2022626f6c642d727567227d', '7b226d6174223a20227365726966227d', '7b22736b6579626f617264223a20227365726966227d']"
"[['http://object-naming-amore.upf.edu//2351150_2561357_supercat_unique.png', ['guy', 'woman', 'man', 'person']], ['http://object-naming-amore.upf.edu//2384365_527115_seed_ambiguous.png', ['carpet', 'bed sheet', 'bed', 'token']], ['http://object-naming-amore.upf.edu//2349075_1766889_singleton_obj.png', ['eye', 'banana', 'child', 'monkey']], ['http://object-naming-amore.upf.edu//2339995_2804309_singleton_obj.png', ['apartment', 'balcony', 'building', 'bus', 'apartment building']], ['http://object-naming-amore.upf.edu//2342521_3524310_singleton_obj.png', ['food', 'pate', 'fork', 'dish', 'bowl', 'plate']], ['http://object-naming-amore.upf.edu//2412235_199635_singleton_obj.png', ['leaf', 'counter', 'table', 'vase', 'glass', 'bookshelf', 'desk', 'bookcase', 'shelf']]]","['7b22776f6d616e223a20227365726966227d', '7b22746f6b656e223a2022636f7572696572227d', '7b22657965223a20227365726966227d', '7b2262616c636f6e79223a20227365726966227d', '7b2270617465223a202273616e732d706c617465227d', '7b226c656166223a20227365726966227d']"
"[['http://object-naming-amore.upf.edu//2405607_330567_singleton_obj.png', ['boy', 'tree', 'child', 'kid']], ['http://object-naming-amore.upf.edu//2395015_458534_seed_ambiguous.png', ['pony', 'horse', 'eye', 'donkey']], ['http://object-naming-amore.upf.edu//2361789_1965398_supercat_ambiguous.png', ['train', 'train car', 'car', 'tracks']], ['http://object-naming-amore.upf.edu//2372323_592527_supercat_unique.png', ['food', 'bread', 'burger', 'pictrue', 'sandwich']], ['http://object-naming-amore.upf.edu//2370588_2374952_singleton_obj.png', ['wheel', 'motorcycle', 'bike', 'motorbike', 'beas', 'motor bike']], ['http://object-naming-amore.upf.edu//2356311_2693583_supercat_ambiguous.png', ['green bean', 'vegetable', 'bean', 'flower', 'food', 'beans', 'plate', 'pain', 'green beans']]]","['7b2274726565223a20227365726966222c20226b6964223a2022626f6c642d6368696c64227d', '7b22657965223a20227365726966227d', '7b22747261636b73223a20227365726966227d', '7b2270696374727565223a2022636f7572696572227d', '7b2262656173223a2022636f7572696572222c20226d6f746f7262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b227061696e223a2022636f7572696572222c20226265616e73223a2022626f6c642d6265616e227d']"
"[['http://object-naming-amore.upf.edu//2396980_438635_supercat_ambiguous.png', ['car', 'train car', 'train', 'sign']], ['http://object-naming-amore.upf.edu//2354781_2198979_singleton_obj.png', ['freeman', 'coffee mug', 'mug', 'cup']], ['http://object-naming-amore.upf.edu//2391301_3827185_singleton_obj.png', ['hotel', 'oakwood', 'resort', 'building']], ['http://object-naming-amore.upf.edu//2384419_3846844_supercat_ambiguous.png', ['kid', 't-shirt', 'boy', 't-shift', 'child']], ['http://object-naming-amore.upf.edu//2348561_2617652_seed_ambiguous.png', ['blazer', 'shirt', 'coat', 'jacekt', 'sweater', 'jacket']], ['http://object-naming-amore.upf.edu//2340044_2088324_singleton_obj.png', ['stand', 'hatstand', 'locust', 'entertainment center', 'furniture', 'table', 'console', 'shelf', 'cabinet']]]","['7b227369676e223a20227365726966227d', '7b22667265656d616e223a2022636f7572696572227d', '7b226f616b776f6f64223a2022636f7572696572227d', '7b22742d7368696674223a202273616e732d742d7368697274222c20226b6964223a2022626f6c642d6368696c64227d', '7b226a6163656b74223a202273616e732d6a61636b6574227d', '7b226c6f63757374223a2022636f7572696572222c2022636162696e6574223a2022626f6c642d636f6e736f6c65227d']"
"[['http://object-naming-amore.upf.edu//2376896_1742414_supercat_ambiguous.png', ['pizza', 'cheese', 'side', 'slice']], ['http://object-naming-amore.upf.edu//2341343_2088342_singleton_obj.png', ['jet', 'plane', 'tail', 'airplane']], ['http://object-naming-amore.upf.edu//2376233_574744_singleton_obj.png', ['wings', 'plane', 'jet', 'airplane']], ['http://object-naming-amore.upf.edu//2354083_1775364_supercat_unique.png', ['food', 'bread', 'toast', 'sandwich', 'tost']], ['http://object-naming-amore.upf.edu//2413148_3557060_singleton_obj.png', ['man', 'groud', 'teenager', 'shirt', 'boy', 'person']], ['http://object-naming-amore.upf.edu//2360477_1661077_singleton_obj.png', ['table', 'cabinet', 'stove', 'caabinets', 'oven', 'cabinets', 'counter', 'kitchen', 'steel']]]","['7b2273696465223a20227365726966227d', '7b227461696c223a20227365726966222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b226a6574223a20227365726966222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b22746f7374223a202273616e732d746f617374227d', '7b2267726f7564223a2022636f7572696572227d', '7b2263616162696e657473223a202273616e732d636162696e657473222c2022636162696e657473223a2022626f6c642d636162696e6574227d']"
"[['http://object-naming-amore.upf.edu//2404595_655836_singleton_obj.png', ['counter', 'table', 'countertop', 'wire']], ['http://object-naming-amore.upf.edu//2386105_1289332_seed_ambiguous.png', ['cap', 'hat', 'cover', 'breaded']], ['http://object-naming-amore.upf.edu//2386963_515920_seed_ambiguous.png', ['female', 'girl', 'rural', 'woman']], ['http://object-naming-amore.upf.edu//2329363_3484272_singleton_obj.png', ['car', 'automoble', 'automobile', 'vehicle', 'suv']], ['http://object-naming-amore.upf.edu//2396405_444697_supercat_unique.png', ['t-shirt', 'sweater', 'shirt', 'sweatshirt', 'jacket', 'argula']], ['http://object-naming-amore.upf.edu//2401050_660222_singleton_obj.png', ['counter', 'table', 'countertop', 'desk', 'shoe', 'floor', 'jeans', 'clock', 'shelf']]]","['7b2277697265223a2022636f7572696572227d', '7b2262726561646564223a2022636f7572696572227d', '7b22727572616c223a2022636f7572696572227d', '7b226175746f6d6f626c65223a202273616e732d6175746f6d6f62696c65222c2022636172223a2022626f6c642d6175746f6d6f62696c65227d', '7b22617267756c61223a2022636f7572696572227d', '7b226a65616e73223a20227365726966227d']"
"[['http://object-naming-amore.upf.edu//2363108_3362926_seed_ambiguous.png', ['woman', 'girl', 'person', 'plate']], ['http://object-naming-amore.upf.edu//2377005_568432_supercat_unique.png', ['jacket', 'cabro', 'tie', 'coat']], ['http://object-naming-amore.upf.edu//2362290_775491_supercat_unique.png', ['bread', 'sandwich', 'abaton', 'food']], ['http://object-naming-amore.upf.edu//2409674_236479_seed_ambiguous.png', ['cabinet', 'conuter', 'counter', 'sink', 'vanity']], ['http://object-naming-amore.upf.edu//2369344_743653_singleton_obj.png', ['board', 'cap', 'surfer', 'person', 'woman', 'girl']], ['http://object-naming-amore.upf.edu//2320042_3126840_singleton_obj.png', ['shelf', 'petal', 'counter', 'pot', 'vase', 'floor', 'bag', 'table', 'countertop']]]","['7b22706c617465223a20227365726966227d', '7b22636162726f223a2022636f7572696572227d', '7b22616261746f6e223a2022636f7572696572227d', '7b22636f6e75746572223a202273616e732d636f756e746572227d', '7b22626f617264223a20227365726966227d', '7b22706574616c223a20227365726966227d']"
"[['http://object-naming-amore.upf.edu//2353102_849411_singleton_obj.png', ['airplane', 'vent', 'jet', 'plane']], ['http://object-naming-amore.upf.edu//2377133_1799707_singleton_obj.png', ['woman', 'person', 'pefson', 'girl']], ['http://object-naming-amore.upf.edu//2351033_1888392_supercat_ambiguous.png', ['food', 'rice', 'chicken', 'utinsil']], ['http://object-naming-amore.upf.edu//2359382_2390179_singleton_obj.png', ['man', 'person', 'snowboarder', 'helmet', 'snowbboarder']], ['http://object-naming-amore.upf.edu//2394017_1214973_singleton_obj.png', ['food', 'salad', 'bowl', 'dish', 'plate', 'meat']], ['http://object-naming-amore.upf.edu//2354532_2029428_singleton_obj.png', ['ground', 'tennis player', 'carpet', 'court', 'writig', 'player', 'tennis court', 'floor', 'man']]]","['7b2276656e74223a2022636f7572696572222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b22706566736f6e223a202273616e732d706572736f6e227d', '7b227574696e73696c223a2022636f7572696572227d', '7b22736e6f7762626f6172646572223a202273616e732d736e6f77626f6172646572227d', '7b2273616c6164223a20227365726966227d', '7b22777269746967223a2022636f7572696572227d']"
