,index,image,object,name,correct1,correct2,correct3,image_url,control_type,rating,type,same_color,reliable1,reliable2,control_type_trimmed
0,0,1159441,1593550,diem,1.0,1.0,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,random,"[2, 2, 2, 2]","['other', 'other', 'other', 'other']","[['diem'], ['diem'], ['diem'], ['diem']]",True,True,random
1,1,1159441,1593550,girl,,,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['woman', 'girl'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']]",False,False,
2,2,1159441,1593550,human,,,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']]",False,False,
3,3,1159441,1593550,person,,,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']]",False,False,
4,4,1159441,1593550,skier,,,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,,"[1, 1, 1, 0]","['linguistic', 'visual', 'visual', nan]","[['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['skier', 'snowboarder'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']]",False,False,
5,5,1159441,1593550,snowboarder,,,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['skier', 'snowboarder'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']]",False,False,
6,6,1159441,1593550,woman,,,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['woman', 'girl'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']]",False,False,
7,7,1592751,2786882,car,1.0,,,http://object-naming-amore.upf.edu//1592751_2786882_singleton_obj.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['car'], ['car'], ['car'], ['car']]",True,False,vg_majority
8,8,1592751,2786882,moe,1.0,1.0,,http://object-naming-amore.upf.edu//1592751_2786882_singleton_obj.png,random,"[2, 2, 2, 2]","['other', 'other', 'other', 'other']","[['moe'], ['moe'], ['moe'], ['moe']]",True,True,random
9,9,1592751,2786882,wheel,,,1.0,http://object-naming-amore.upf.edu//1592751_2786882_singleton_obj.png,,"[1, 1, 2, 2]","['bounding box', 'visual', 'bounding box', 'bounding box']","[['wheel'], ['wheel'], ['wheel'], ['wheel']]",False,False,
10,10,2044,1629170,chair,,,,http://object-naming-amore.upf.edu//2044_1629170_singleton_obj.png,,"[1, 1, 1, 2]","['bounding box', 'visual', 'bounding box', 'visual']","[['chair'], ['sofa', 'chair', 'couch'], ['sofa', 'chair'], ['sofa', 'chair', 'couch']]",False,False,
11,11,2044,1629170,couch,1.0,,,http://object-naming-amore.upf.edu//2044_1629170_singleton_obj.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['sofa', 'couch'], ['sofa', 'chair', 'couch'], ['couch'], ['sofa', 'chair', 'couch']]",True,False,vg_majority
12,12,2044,1629170,metal,0.75,1.0,,http://object-naming-amore.upf.edu//2044_1629170_singleton_obj.png,alternative,"[2, 2, 2, 2]","['other', 'visual', 'other', 'bounding box']","[['metal'], ['metal'], ['metal'], ['metal']]",True,True,alternative
13,13,2044,1629170,sofa,1.0,0.75,,http://object-naming-amore.upf.edu//2044_1629170_singleton_obj.png,syn-couch,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['sofa', 'couch'], ['sofa', 'chair', 'couch'], ['sofa', 'chair'], ['sofa', 'chair', 'couch']]",True,True,syn
14,14,2316022,2921754,armchair,,,,http://object-naming-amore.upf.edu//2316022_2921754_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'capsule', 'couch', 'sofa', 'chair'], ['armchair', 'chair']]",False,False,
15,15,2316022,2921754,capsule,0.75,0.75,,http://object-naming-amore.upf.edu//2316022_2921754_singleton_obj.png,random,"[2, 2, 2, 2]","['other', 'other', 'visual', 'other']","[['capsule'], ['capsule'], ['armchair', 'capsule', 'couch', 'sofa', 'chair'], ['capsule']]",True,True,random
16,16,2316022,2921754,chair,,,,http://object-naming-amore.upf.edu//2316022_2921754_singleton_obj.png,,"[0, 1, 0, 0]","[nan, 'visual', nan, nan]","[['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'capsule', 'couch', 'sofa', 'chair'], ['armchair', 'chair']]",False,False,
17,17,2316022,2921754,couch,1.0,1.0,,http://object-naming-amore.upf.edu//2316022_2921754_singleton_obj.png,syn-sofa,"[1, 0, 0, 0]","['visual', nan, nan, nan]","[['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'capsule', 'couch', 'sofa', 'chair'], ['couch', 'sofa']]",True,True,syn
18,18,2316022,2921754,sofa,,,,http://object-naming-amore.upf.edu//2316022_2921754_singleton_obj.png,,"[1, 0, 0, 0]","['visual', nan, nan, nan]","[['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'capsule', 'couch', 'sofa', 'chair'], ['couch', 'sofa']]",False,False,
19,19,2317878,3397383,cake,,,1.0,http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png,,"[2, 2, 0, 2]","['bounding box', 'bounding box', nan, 'bounding box']","[['cake'], ['cake'], ['cake'], ['cake']]",False,False,
20,20,2317878,3397383,person,,,,http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['woman', 'person'], ['woman', 'person'], ['t-shirt', 't-shhirt', 'shirt', 'woman', 'person'], ['woman', 'person']]",False,False,
21,21,2317878,3397383,shirt,,,,http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png,,"[1, 0, 0, 0]","['bounding box', nan, nan, nan]","[['t-shirt', 't-shhirt', 'shirt'], ['t-shirt', 'shirt'], ['t-shirt', 't-shhirt', 'shirt', 'woman', 'person'], ['t-shirt', 't-shhirt', 'shirt']]",False,False,
22,22,2317878,3397383,t-shhirt,1.0,0.75,,http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png,typo-t-shirt,"[2, 2, 2, 1]","['bounding box', 'linguistic', 'linguistic', 'linguistic']","[['t-shirt', 't-shhirt', 'shirt'], ['t-shhirt'], ['t-shirt', 't-shhirt', 'shirt', 'woman', 'person'], ['t-shirt', 't-shhirt', 'shirt']]",True,True,typo
23,23,2317878,3397383,t-shirt,,,,http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png,,"[1, 2, 0, 0]","['bounding box', 'visual', nan, nan]","[['t-shirt', 't-shhirt', 'shirt'], ['t-shirt', 'shirt'], ['t-shirt', 't-shhirt', 'shirt', 'woman', 'person'], ['t-shirt', 't-shhirt', 'shirt']]",False,False,
24,24,2317878,3397383,woman,,,,http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png,,"[0, 0, 2, 0]","[nan, nan, 'linguistic', nan]","[['woman', 'person'], ['woman', 'person'], ['t-shirt', 't-shhirt', 'shirt', 'woman', 'person'], ['woman', 'person']]",False,False,
25,25,2318524,1009820,airplane,1.0,1.0,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,syn-plane,"[1, 1, 1, 2]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['plane', 'airplane'], ['plane', 'airplane'], ['plane', 'airplane'], ['plane', 'airplane']]",True,True,syn
26,26,2318524,1009820,airport,,,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,,"[1, 0, 1, 0]","['linguistic', nan, 'visual', nan]","[['airport'], ['airport'], ['airport'], ['ground', 'tarmac', 'airport', 'runway', 'road']]",False,False,
27,27,2318524,1009820,ground,,,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,,"[1, 1, 0, 1]","['linguistic', 'bounding box', nan, 'bounding box']","[['ground', 'tarmac', 'runway', 'road'], ['ground', 'tarmac', 'runway', 'road'], ['ground'], ['ground', 'tarmac', 'airport', 'runway', 'road']]",False,False,
28,28,2318524,1009820,plane,,,1.0,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,,"[1, 1, 1, 2]","['bounding box', 'bounding box', 'visual', 'bounding box']","[['plane', 'airplane'], ['plane', 'airplane'], ['plane', 'airplane'], ['plane', 'airplane']]",False,False,
29,29,2318524,1009820,plier,0.75,1.0,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,random,"[2, 2, 2, 2]","['other', 'other', 'bounding box', 'other']","[['plier'], ['plier'], ['plier'], ['plier']]",True,True,random
