vg_img_id	vg_object_id	cat	synset	url	responses
2358282	2664326	singleton_obj	woman.n.01	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2358282_2664326_singleton_obj.png	Counter({'girl': 1})
2333929	2818864	singleton_obj	dish.n.02	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2333929_2818864_singleton_obj.png	Counter({'pizza': 1})
2342693	931544	singleton_obj	man.n.01	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2342693_931544_singleton_obj.png	Counter({'man': 1})
2322746	3306645	seed_ambiguous	crockery.n.01	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2322746_3306645_seed_ambiguous.png	Counter({'glass': 1})
1159964	1599770	singleton_obj	shirt.n.01	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/1159964_1599770_singleton_obj.png	Counter({'shirt': 1})
2406959	367865	seed_ambiguous	woman.n.01	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2406959_367865_seed_ambiguous.png	Counter({'woman': 1})
2338048	3446467	singleton_obj	horse.n.01	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2338048_3446467_singleton_obj.png	Counter({'horse': 1})
2390327	3828110	singleton_obj	furnishing.n.02	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2390327_3828110_singleton_obj.png	Counter({'bed': 1})
2347491	3610989	singleton_obj	furnishing.n.02	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2347491_3610989_singleton_obj.png	Counter({'bench': 1})
2334909	2091434	singleton_obj	train.n.01	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2334909_2091434_singleton_obj.png	Counter({'train': 1})
2409582	238628	supercat_unique	overgarment.n.01	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2409582_238628_supercat_unique.png	Counter({'suit': 1})
2375644	3047141	singleton_obj	horse.n.01	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2375644_3047141_singleton_obj.png	Counter({'horse': 1})
2379826	711535	supercat_unique	bird.n.01	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2379826_711535_supercat_unique.png	Counter({'bird': 1})
2414134	159275	singleton_obj	train.n.01	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2414134_159275_singleton_obj.png	Counter({'train': 1})
2319000	3393831	supercat_ambiguous	vessel.n.03	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319000_3393831_supercat_ambiguous.png	Counter({'pot': 1})
2389831	1256710	singleton_obj	furnishing.n.02	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2389831_1256710_singleton_obj.png	Counter({'bookcase': 1})
2316957	3442495	singleton_obj	woman.n.01	http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2316957_3442495_singleton_obj.png	Counter({'woman': 1})
