assignmentid,rating_mean,color_mean,n_annotations,correct1_count,correct1_sum,correct2_count,correct2_sum,correct3_count,correct3_sum,correct3_<lambda>,control_score,control_score-filtered,n_controls,n_correct,n_controls-filtered,hitid,requesterannotation,control_score_mturk,workerid,errors_mturk,n_controls_mturk,n_correct_mturk,decision1,decision2,executed1,executed2,explanation,mistakes,n_mistakes
386PBUZZXFXHZVZ8W0M8YT4EKEILJJ,0.41935483870967744,0.3548387096774194,31,8,7.0,7,7.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9333333333333333,0.9333333333333333,15,14.0,15,3087LXLJ6MGLBDQXYF43XROAM41F0N,../1_pre-pilot/verification_round0_amt.csv_312,0.9333333333333333,worker43,['4-4-rand1'],15,14,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2381272_542154_singleton_obj.png - irish: must be 'other'; you said 'named object misinterpreted'""]",1
3ITXP059PWJ438UYG9J9AFI9C9SJSZ,0.5161290322580645,0.5161290322580645,31,8,6.0,7,7.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8666666666666667,0.8666666666666667,15,13.0,15,3087LXLJ6MGLBDQXYF43XROAM41F0N,../1_pre-pilot/verification_round0_amt.csv_312,0.8666666666666667,worker5,"['3-3-alt1', '4-4-rand1']",15,13,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2381272_542154_singleton_obj.png - irish: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2369696_2944618_seed_ambiguous.png - junk: must be 'bounding box error'; you said 'named object misinterpreted'""]",2
3NG53N1RLVJI6ZINXOIOQK4K9EXP8B,0.45161290322580644,0.4838709677419355,31,8,8.0,7,7.0,2,2.0,"[nan, nan, 1.0, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,17,17.0,17,3087LXLJ6MGLBDQXYF43XROAM41F0N,../1_pre-pilot/verification_round0_amt.csv_312,1.0,worker28,[''],17,17,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3ERET4BTVM9H9D4HPOJUUZDWZ73K9I,0.3548387096774194,0.3225806451612903,31,6,6.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,10,10.0,10,30EV7DWJTVVMPFT75UC8VD5H5HY6YV,../1_pre-pilot/verification_round0_amt.csv_212,1.0,worker43,[''],10,10,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3IFS6Q0HJIJ88XASYRY9YE39ZSJISY,0.7419354838709677,0.3548387096774194,31,6,6.0,4,4.0,2,2.0,"[nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan]",1.0,1.0,12,12.0,12,30EV7DWJTVVMPFT75UC8VD5H5HY6YV,../1_pre-pilot/verification_round0_amt.csv_212,1.0,worker52,[''],12,12,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3YW4XOSQKQLDN46YFP83LG4B3MB1UL,0.5161290322580645,0.3870967741935484,31,6,4.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8,0.8,10,8.0,10,30EV7DWJTVVMPFT75UC8VD5H5HY6YV,../1_pre-pilot/verification_round0_amt.csv_212,0.8,worker0,"['0-0-alt1', '3-2-typo-t-shirt1']",10,8,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2335001_3672575_supercat_unique.png - t-hsirt: must be 'linguistic'; you said 'bounding box error'"", ""http://object-naming-amore.upf.edu//2361202_3756284_supercat_ambiguous.png - economy: must be 'bounding box error'; you said 'named object misinterpreted'""]",2
33IZTU6J8115YSZNXDYA1OQON7BSX0,0.3870967741935484,0.7419354838709677,31,9,8.0,5,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8571428571428571,1.0,14,12.0,12,30QQTY5GMKKOC6N7E3KBY6Z045MU71,../1_pre-pilot/verification_round0_amt.csv_335,0.8571428571428572,worker43,"['0-2-alt0', '0-2-alt2']",14,12,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","[""http://object-naming-amore.upf.edu//2362318_2069147_singleton_obj.png - machine: must be 'bounding box error'; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2362318_2069147_singleton_obj.png - machine: you erroneously gave this the same color as ['machine', 'plane', 'airplane']""]",2
3H7Z272LX77DL626RDRSVPQQTD4LPZ,0.6451612903225806,0.9032258064516129,31,9,8.0,5,4.0,6,6.0,"[1.0, nan, 1.0, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan]",0.9,1.0,20,18.0,18,30QQTY5GMKKOC6N7E3KBY6Z045MU71,../1_pre-pilot/verification_round0_amt.csv_335,0.9,worker47,"['0-2-alt0', '0-2-alt2']",20,18,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","[""http://object-naming-amore.upf.edu//2362318_2069147_singleton_obj.png - machine: must be 'bounding box error'; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2362318_2069147_singleton_obj.png - machine: you erroneously gave this the same color as ['machine', 'plane', 'airplane']""]",2
3NJM2BJS4W6KI280E0YTS603Z54CPQ,0.9032258064516129,0.5161290322580645,31,8,7.0,5,4.0,7,7.0,"[1.0, nan, 1.0, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, 1.0, nan, nan, nan, nan]",0.9,1.0,20,18.0,18,30QQTY5GMKKOC6N7E3KBY6Z045MU71,../1_pre-pilot/verification_round0_amt.csv_335,0.9,worker8,"['0-2-alt1', '0-2-alt2']",20,18,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","[""http://object-naming-amore.upf.edu//2362318_2069147_singleton_obj.png - machine: must be 'bounding box error'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2362318_2069147_singleton_obj.png - machine: you erroneously gave this the same color as ['machine', 'plane', 'airplane']""]",2
3DEL4X4EL6L2UEBWWJQZJAEP4THXYV,0.7741935483870968,0.2903225806451613,31,6,5.0,4,3.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8,0.8,10,8.0,10,30Z7M1Q8UYK8XBESI3VQC5J18M0A8S,../1_pre-pilot/verification_round0_amt.csv_332,0.8,worker12,"['5-5-rand1', '5-5-0-rand2']",10,8,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2412382_3804826_seed_ambiguous.png - counter: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2412382_3804826_seed_ambiguous.png - counter: you erroneously gave this the same color as ['bed', 'cushion', 'counter', 'chair', 'seat', 'stool', 'ottoman']""]",2
3HHRAGRYX850Z4PWNGBN1GU5JE29OK,0.7419354838709677,0.12903225806451613,31,6,6.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,10,10.0,10,30Z7M1Q8UYK8XBESI3VQC5J18M0A8S,../1_pre-pilot/verification_round0_amt.csv_332,1.0,worker4,[''],10,10,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
