vg_img_id	vg_object_id	synset	obj_name	category	url	plurals	low_similarity	optouts	ok_similarity	amt_responses
2369762	2027350	bridge.n.01	bridge	structure, construction	http://object-naming-amore.upf.edu//2369762_2027350_singleton_obj.png	[]	[]	{'#occlusion': 1, '#bbox': 1}	['pier/0.51', 'dock/0.37']	{'pier': 4, 'dock': 2}
1159541	1594851	furnishing.n.02	cabinet	instrumentality, instrumentation	http://object-naming-amore.upf.edu//1159541_1594851_singleton_obj.png	['drawers']	['_notfound_file cabinet', '_notfound_file drawer', 'file/0.17']	{}	['cabinet/1.00', 'drawers/0.36', 'drawer/0.34']	{'cabinet': 3, 'drawers': 1, 'file cabinet': 1, 'drawer': 1, 'file drawer': 1, 'file': 1}
2352385	854428	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2352385_854428_supercat_unique.png	[]	[]	{'#occlusion': 2}	['shelf/0.36', 'desk/0.40', 'counter/0.30', 'table/1.00']	{'shelf': 2, 'desk': 2, 'counter': 1, 'table': 1}
2405954	371202	dish.n.02	soup	food, nutrient	http://object-naming-amore.upf.edu//2405954_371202_supercat_unique.png	['sausage noodles and egg', 'noodles']	['_notfound_sausage noodles and egg']	{'#occlusion': 1}	['soup/1.00', 'bowl/0.38', 'rice/0.44', 'food/0.45']	{'soup': 3, 'bowl': 1, 'rice': 1, 'sausage noodles and egg': 1, 'food': 1}
713107	1579177	woman.n.01	girl	person	http://object-naming-amore.upf.edu//713107_1579177_seed_ambiguous.png	[]	[]	{'#bbox': 1}	['girl/1.00', 'kid/0.52', 'hair/0.22']	{'girl': 5, 'kid': 1, 'hair': 1}
2382744	695884	furnishing.n.02	carpet	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2382744_695884_singleton_obj.png	[]	['_notfound_living room']	{'#bbox': 2, '#occlusion': 1}	['carpet/1.00', 'floor/0.38']	{'carpet': 3, 'living room': 1, 'floor': 1}
2387935	676435	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2387935_676435_supercat_unique.png	[]	[]	{'#bbox': 1}	['shirt/1.00', 'man/0.24', 'arm/0.22']	{'shirt': 5, 'man': 1, 'arm': 1}
2361101	784077	furnishing.n.02	carpet	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2361101_784077_singleton_obj.png	[]	[]	{'#occlusion': 1}	['carpet/1.00', 'floor/0.38']	{'carpet': 6, 'floor': 2}
2391676	1238584	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2391676_1238584_singleton_obj.png	[]	['_notfound_table, cafe table']	{'#occlusion': 1}	['table/1.00']	{'table': 7, 'table, cafe table': 1}
2364299	1965363	car.n.01	suv	vehicle	http://object-naming-amore.upf.edu//2364299_1965363_supercat_unique.png	[]	[]	{'#occlusion': 1}	['car/0.61', 'automobile/0.41', 'suv/1.00', 'truck/0.52']	{'car': 4, 'automobile': 2, 'suv': 1, 'truck': 1}
