vg_img_id	vg_object_id	synset	obj_name	category	url	plurals	low_similarity	optouts	ok_similarity	amt_responses
2407892	1095531	male_child.n.01	boy	person	http://object-naming-amore.upf.edu//2407892_1095531_singleton_obj.png	['goggles']	['goggles/0.07']	{}	['snowboarder/0.30', 'skier/0.22', 'person/0.34', 'man/0.68', 'boy/1.00', 'kid/0.63']	{'snowboarder': 2, 'skier': 2, 'person': 1, 'goggles': 1, 'man': 1, 'boy': 1, 'kid': 1}
570	1064029	fish.n.01	fish	animal	http://object-naming-amore.upf.edu//570_1064029_supercat_unique.png	[]	[]	{'#occlusion': 1, '#other_multiple objects': 1}	['fish/1.00', 'food/0.36', 'meat/0.45']	{'fish': 3, 'food': 3, 'meat': 1}
2365979	2252855	dish.n.02	hamburger	food, nutrient	http://object-naming-amore.upf.edu//2365979_2252855_seed_ambiguous.png	[]	[]	{'#bbox': 3}	['sandwich/0.67', 'hamburger/1.00']	{'sandwich': 5, 'hamburger': 1}
2365899	3881946	furnishing.n.02	dresser	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2365899_3881946_seed_ambiguous.png	[]	['counter/0.19']	{'#occlusion': 2}	['dresser/1.00', 'desk/0.39', 'cabinet/0.31', 'shelf/0.30']	{'dresser': 2, 'desk': 2, 'cabinet': 1, 'counter': 1, 'shelf': 1}
2359454	793200	shelter.n.01	tent	structure, construction	http://object-naming-amore.upf.edu//2359454_793200_seed_ambiguous.png	[]	[]	{'#bbox': 1}	['tent/1.00', 'canopy/0.46', 'gazebo/0.45']	{'tent': 4, 'canopy': 3, 'gazebo': 1}
2362734	771682	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2362734_771682_supercat_unique.png	[]	[]	{'#bbox': 3}	['shirt/1.00']	{'shirt': 6}
2368412	746554	furnishing.n.02	cabinet	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2368412_746554_singleton_obj.png	[]	['clock/0.01', '_notfound_train engine']	{'#occlusion': 1}	['dresser/0.31', 'cabinet/1.00']	{'clock': 5, 'train engine': 1, 'dresser': 1, 'cabinet': 1}
2316407	3359797	child.n.01	child	person	http://object-naming-amore.upf.edu//2316407_3359797_singleton_obj.png	[]	['dress/0.12', 'organizer/-0.01']	{'#bbox': 1}	['girl/0.59', 'child/1.00']	{'girl': 4, 'child': 2, 'dress': 1, 'organizer': 1}
2367132	2769069	furnishing.n.02	couch	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2367132_2769069_supercat_unique.png	[]	['controller/0.16']	{'#bbox': 1}	['couch/1.00', 'sofa/0.83']	{'couch': 6, 'controller': 1, 'sofa': 1}
2406062	370638	dish.n.02	hamburger	food, nutrient	http://object-naming-amore.upf.edu//2406062_370638_supercat_unique.png	[]	[]	{'#bbox': 1}	['sandwich/0.67', 'sandwhich/0.53', 'bun/0.51', 'burger/0.78']	{'sandwich': 5, 'sandwhich': 1, 'bun': 1, 'burger': 1}
2366130	1680114	cutlery.n.02	spoon	ware	http://object-naming-amore.upf.edu//2366130_1680114_singleton_obj.png	['candles']	[]	{}	['spoon/1.00', 'candles/0.24']	{'spoon': 8, 'candles': 1}
2344966	3268698	woman.n.01	woman	person	http://object-naming-amore.upf.edu//2344966_3268698_supercat_unique.png	[]	['shirt/0.16', 'arm/0.10']	{'#bbox': 3}	['person/0.55', 'woman/1.00']	{'person': 2, 'shirt': 2, 'woman': 1, 'arm': 1}
2412667	2956620	boat.n.01	boat	vehicle	http://object-naming-amore.upf.edu//2412667_2956620_seed_ambiguous.png	[]	[]	{'#bbox': 1}	['boat/1.00', 'canopy/0.22', 'yacht/0.72']	{'boat': 6, 'canopy': 1, 'yacht': 1}
2409845	232132	furnishing.n.02	desk	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2409845_232132_singleton_obj.png	['books']	[]	{}	['desk/1.00', 'books/0.22']	{'desk': 6, 'books': 3}
2363656	2169406	man.n.01	man's	person	http://object-naming-amore.upf.edu//2363656_2169406_seed_ambiguous.png	[]	['feeder/0.09']	{'#occlusion': 1}	['man/0.24', 'guy/0.32']	{'man': 6, 'feeder': 1, 'guy': 1}
2325594	3380365	furnishing.n.02	bench	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2325594_3380365_singleton_obj.png	[]	['bridge/0.08']	{"#other_image won't load": 1}	['bench/1.00']	{'bench': 7, 'bridge': 1}
2392780	1226022	furnishing.n.02	carpet	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2392780_1226022_seed_ambiguous.png	[]	[]	{'#bbox': 3}	['carpet/1.00', 'floor/0.38', 'diningroom/0.30', 'table/0.22']	{'carpet': 3, 'floor': 1, 'diningroom': 1, 'table': 1}
2372772	2192061	male_child.n.01	boy	person	http://object-naming-amore.upf.edu//2372772_2192061_supercat_ambiguous.png	['headphones']	['headphones/0.04']	{}	['skater/0.21', 'skateboarder/0.39', 'male/0.32', 'boy/1.00', 'person/0.34']	{'skater': 3, 'skateboarder': 2, 'male': 1, 'boy': 1, 'headphones': 1, 'person': 1}
2326137	2855524	vessel.n.03	bowl	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2326137_2855524_supercat_unique.png	['greens']	['greens/0.19']	{}	['bowl/1.00', 'broccoli/0.26']	{'bowl': 6, 'broccoli': 2, 'greens': 1}
2395260	456451	woman.n.01	girl	person	http://object-naming-amore.upf.edu//2395260_456451_singleton_obj.png	['glasses']	['glasses/0.13']	{}	['girl/1.00', 'female/0.35', 'eater/0.23', 'woman/0.75']	{'girl': 4, 'female': 2, 'eater': 1, 'glasses': 1, 'woman': 1}
2332598	3079521	neckwear.n.01	tie	article of clothing	http://object-naming-amore.upf.edu//2332598_3079521_singleton_obj.png	[]	[]	{'#bbox': 2}	['tie/1.00', 'scarf/0.22']	{'tie': 5, 'scarf': 2}
2343795	920042	dish.n.02	pizza	food, nutrient	http://object-naming-amore.upf.edu//2343795_920042_supercat_unique.png	[]	['_notfound_pizza pie']	{'#occlusion': 1}	['pizza/1.00', 'food/0.44']	{'pizza': 6, 'pizza pie': 1, 'food': 1}
2330086	3723137	furnishing.n.02	counter	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2330086_3723137_singleton_obj.png	[]	['sink/0.18', 'vanity/0.09', '_notfound_bathroom counter']	{'#bbox': 2}	['counter/1.00']	{'sink': 2, 'counter': 2, 'vanity': 2, 'bathroom counter': 1}
2360983	3757652	furnishing.n.02	bed	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2360983_3757652_singleton_obj.png	[]	[]	{'#bbox': 1}	['bed/1.00']	{'bed': 8}
2384322	527386	ungulate.n.01	reindeer	animal	http://object-naming-amore.upf.edu//2384322_527386_supercat_ambiguous.png	[]	['_notfound_stufffed animal']	{'#bbox': 2}	['dog/0.37', 'toy/0.31', 'doll/0.29']	{'dog': 3, 'toy': 2, 'stufffed animal': 1, 'doll': 1}
2386661	3701255	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2386661_3701255_supercat_unique.png	['bibs', 'clothes']	[]	{}	['shirt/1.00', 'bibs/0.30', 'clothes/0.49']	{'shirt': 7, 'bibs': 1, 'clothes': 1}
2384692	525027	headdress.n.01	hood	article of clothing	http://object-naming-amore.upf.edu//2384692_525027_singleton_obj.png	[]	[]	{'#occlusion': 3, '#bbox': 1}	['hood/1.00', 'grate/0.35', 'grill/0.39']	{'hood': 3, 'grate': 1, 'grill': 1}
2325415	3460019	car.n.01	car	vehicle	http://object-naming-amore.upf.edu//2325415_3460019_seed_ambiguous.png	[]	[]	{'#bbox': 1}	['car/1.00', 'automobile/0.58']	{'car': 6, 'automobile': 2}
2346332	1731782	furnishing.n.02	furniture	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2346332_1731782_seed_ambiguous.png	[]	['child/0.15', 'table/0.20']	{'#bbox': 4, '#occlusion': 3}	[]	{'child': 1, 'table': 1}
2398076	3820587	cutlery.n.02	fork	ware	http://object-naming-amore.upf.edu//2398076_3820587_supercat_unique.png	[]	[]	{'#bbox': 1}	['fork/1.00', 'utensil/0.34', 'spoon/0.45']	{'fork': 4, 'utensil': 3, 'spoon': 1}
2360911	2956978	furnishing.n.02	couch	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2360911_2956978_singleton_obj.png	[]	['cushion/0.17']	{'#bbox': 2, '#occlusion': 1}	['pillow/0.57', 'headrest/0.37']	{'cushion': 3, 'pillow': 2, 'headrest': 1}
2367939	3871479	baked_goods.n.01	bun	food, solid food	http://object-naming-amore.upf.edu//2367939_3871479_supercat_unique.png	['pickles']	['_notfound_hot dog', 'roll/0.14']	{}	['bun/1.00', 'food/0.22', 'hotdog/0.46', 'pickles/0.43', 'bread/0.43']	{'bun': 2, 'hot dog': 2, 'food': 1, 'hotdog': 1, 'pickles': 1, 'roll': 1, 'bread': 1}
2383179	534549	train.n.01	train	vehicle	http://object-naming-amore.upf.edu//2383179_534549_singleton_obj.png	['trains']	[]	{}	['train/1.00', 'tracks/0.36', 'trains/0.81']	{'train': 7, 'tracks': 1, 'trains': 1}
2346474	2225834	man.n.01	man	person	http://object-naming-amore.upf.edu//2346474_2225834_seed_ambiguous.png	['group of people', 'people', 'friends family']	['diningroom/0.12', '_notfound_group of people', 'friends/0.18', '_notfound_dinner party']	{'#bbox': 4}	['family/0.21']	{'diningroom': 1, 'group of people': 1, 'friends': 1, 'family': 1, 'dinner party': 1}
2407384	280549	shelter.n.01	tent	structure, construction	http://object-naming-amore.upf.edu//2407384_280549_singleton_obj.png	[]	[]	{'#occlusion': 1}	['tent/1.00']	{'tent': 8}
2351459	1904911	man.n.01	man	person	http://object-naming-amore.upf.edu//2351459_1904911_seed_ambiguous.png	[]	['suit/0.08']	{"#other_don't know what you want in this picture": 1}	['jacket/0.22', 'person/0.53', 'man/1.00']	{'jacket': 3, 'person': 2, 'man': 2, 'suit': 1}
2410309	220831	dress.n.01	dress	article of clothing	http://object-naming-amore.upf.edu//2410309_220831_supercat_unique.png	['clothes']	['laptop/0.07']	{}	['dress/1.00', 'shirt/0.46', 'clothes/0.59']	{'dress': 5, 'laptop': 2, 'shirt': 1, 'clothes': 1}
