vg_img_id	vg_object_id	cat	synset	url	responses	sample_type	obj_name
2318399	3417848	person	woman.n.01	http://object-naming-amore.upf.edu//2318399_3417848_supercat_ambiguous.png	Counter({'woman': 8, 'phone': 1})	supercat_ambiguous	lady
2395290	456135	vehicle	boat.n.01	http://object-naming-amore.upf.edu//2395290_456135_singleton_obj.png	Counter({'boat': 5, '#occlusion': 4})	singleton_obj	boat
2403399	381904	animal	ungulate.n.01	http://object-naming-amore.upf.edu//2403399_381904_supercat_unique.png	Counter({'sheep': 5, 'calf': 1, 'animal': 1, '#occlusion': 1, 'llama': 1})	supercat_unique	sheep
2402199	1139198	article of clothing	shirt.n.01	http://object-naming-amore.upf.edu//2402199_1139198_singleton_obj.png	Counter({'shirt': 8, 'man': 1})	singleton_obj	shirt
2376804	2640487	structure, construction	bridge.n.01	http://object-naming-amore.upf.edu//2376804_2640487_singleton_obj.png	Counter({'dock': 5, 'pier': 2, 'bridge': 2})	singleton_obj	bridge
2402707	387298	animal	feline.n.01	http://object-naming-amore.upf.edu//2402707_387298_singleton_obj.png	Counter({'cat': 9})	singleton_obj	cat
2399714	661479	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//2399714_661479_supercat_unique.png	Counter({'counter': 5, 'table': 1, '#bbox': 1, 'phone': 1, '#occlusion': 1})	supercat_unique	counter
2374109	3144664	food, solid food	baked_goods.n.01	http://object-naming-amore.upf.edu//2374109_3144664_supercat_unique.png	Counter({'cake': 9})	supercat_unique	cake
2389916	501565	person	man.n.01	http://object-naming-amore.upf.edu//2389916_501565_singleton_obj.png	Counter({'man': 7, 'person': 1, 'frisbee': 1})	singleton_obj	guy
2348601	881075	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//2348601_881075_singleton_obj.png	Counter({'bed': 5, 'blanket': 2, 'duvet': 1, 'mattress': 1})	singleton_obj	bed
2373504	2674865	vehicle	motorcycle.n.01	http://object-naming-amore.upf.edu//2373504_2674865_seed_ambiguous.png	Counter({'motorcycle': 8, 'bike': 1})	seed_ambiguous	motorcycle
2370826	1970312	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//2370826_1970312_seed_ambiguous.png	Counter({'bench': 6, '#bbox': 2, '#occlusion': 1})	seed_ambiguous	bench
2344483	2366621	article of clothing	shirt.n.01	http://object-naming-amore.upf.edu//2344483_2366621_seed_ambiguous.png	Counter({'shirt': 8, 'man': 1})	seed_ambiguous	shirt
2340486	3434614	animal	horse.n.01	http://object-naming-amore.upf.edu//2340486_3434614_singleton_obj.png	Counter({'horse': 4, 'pony': 3, 'cow': 1, 'minature pony': 1})	singleton_obj	pony
2412968	183096	vehicle	train.n.01	http://object-naming-amore.upf.edu//2412968_183096_singleton_obj.png	Counter({'train': 7, '#occlusion': 1, 'locomotive': 1})	singleton_obj	train
2396677	1196058	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//2396677_1196058_singleton_obj.png	Counter({'table': 8, '#occlusion': 1})	singleton_obj	table
2405034	374781	animal	dog.n.01	http://object-naming-amore.upf.edu//2405034_374781_singleton_obj.png	Counter({'dog': 8, 'puppy': 1})	singleton_obj	dog
2350293	3405940	person	woman.n.01	http://object-naming-amore.upf.edu//2350293_3405940_seed_ambiguous.png	Counter({'woman': 8, '#bbox': 1})	seed_ambiguous	lady
