vg_img_id	vg_object_id	cat	synset	url	responses	sample_type	obj_name
2407892	1095531	person	male_child.n.01	http://object-naming-amore.upf.edu//2407892_1095531_singleton_obj.png	Counter({'snowboarder': 2, 'skier': 2, 'person': 1, 'goggles': 1, 'man': 1, 'boy': 1, 'kid': 1})	singleton_obj	boy
2328275	3325725	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//2328275_3325725_singleton_obj.png	Counter({'desk': 8, 'table': 1})	singleton_obj	desk
2378127	1902170	vehicle	car.n.01	http://object-naming-amore.upf.edu//2378127_1902170_singleton_obj.png	Counter({'train': 8, 'traincar': 1})	singleton_obj	car
570	1064029	animal	fish.n.01	http://object-naming-amore.upf.edu//570_1064029_supercat_unique.png	Counter({'fish': 3, 'food': 3, '#occlusion': 1, 'meat': 1, '#other_multiple objects': 1})	supercat_unique	fish
2365979	2252855	food, nutrient	dish.n.02	http://object-naming-amore.upf.edu//2365979_2252855_seed_ambiguous.png	Counter({'sandwich': 5, '#bbox': 3, 'hamburger': 1})	seed_ambiguous	hamburger
2325596	2924415	person	man.n.01	http://object-naming-amore.upf.edu//2325596_2924415_seed_ambiguous.png	Counter({'man': 5, 'tie': 1, 'person': 1, 'friend': 1, 'guy': 1})	seed_ambiguous	man
2356404	3009767	article of clothing	shirt.n.01	http://object-naming-amore.upf.edu//2356404_3009767_singleton_obj.png	Counter({'shirt': 9})	singleton_obj	shirt
2365899	3881946	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//2365899_3881946_seed_ambiguous.png	Counter({'dresser': 2, '#occlusion': 2, 'desk': 2, 'cabinet': 1, 'counter': 1, 'shelf': 1})	seed_ambiguous	dresser
2391199	1242877	vehicle	aircraft.n.01	http://object-naming-amore.upf.edu//2391199_1242877_singleton_obj.png	Counter({'plane': 4, 'airplane': 3, 'jet': 2})	singleton_obj	plane
2343130	927034	structure, construction	shelter.n.01	http://object-naming-amore.upf.edu//2343130_927034_supercat_unique.png	Counter({'dugout': 3, 'fence': 3, 'railing': 1, 'dugout fence': 1, 'fencing': 1})	supercat_unique	dugout
2341357	3655768	person	male_child.n.01	http://object-naming-amore.upf.edu//2341357_3655768_singleton_obj.png	Counter({'surfer': 4, 'person': 2, 'man': 2, 'surfboard': 1})	singleton_obj	boy
2359454	793200	structure, construction	shelter.n.01	http://object-naming-amore.upf.edu//2359454_793200_seed_ambiguous.png	Counter({'tent': 4, 'canopy': 3, '#bbox': 1, 'gazebo': 1})	seed_ambiguous	tent
2362734	771682	article of clothing	shirt.n.01	http://object-naming-amore.upf.edu//2362734_771682_supercat_unique.png	Counter({'shirt': 6, '#bbox': 3})	supercat_unique	shirt
2368412	746554	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//2368412_746554_singleton_obj.png	Counter({'clock': 5, 'train engine': 1, '#occlusion': 1, 'dresser': 1, 'cabinet': 1})	singleton_obj	cabinet
2373340	733035	animal	dog.n.01	http://object-naming-amore.upf.edu//2373340_733035_supercat_unique.png	Counter({'dog': 9})	supercat_unique	dog
2316407	3359797	person	child.n.01	http://object-naming-amore.upf.edu//2316407_3359797_singleton_obj.png	Counter({'girl': 4, 'child': 2, 'dress': 1, 'organizer': 1, '#bbox': 1})	singleton_obj	child
2390130	1253580	vehicle	aircraft.n.01	http://object-naming-amore.upf.edu//2390130_1253580_singleton_obj.png	Counter({'plane': 5, 'airplane': 2, 'jet': 2})	singleton_obj	airplane
2367132	2769069	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//2367132_2769069_supercat_unique.png	Counter({'couch': 6, 'controller': 1, '#bbox': 1, 'sofa': 1})	supercat_unique	couch
2372045	594485	vehicle	aircraft.n.01	http://object-naming-amore.upf.edu//2372045_594485_singleton_obj.png	Counter({'plane': 5, 'airplane': 3, 'jet': 1})	singleton_obj	plane
2406062	370638	food, nutrient	dish.n.02	http://object-naming-amore.upf.edu//2406062_370638_supercat_unique.png	Counter({'sandwich': 5, 'sandwhich': 1, '#bbox': 1, 'bun': 1, 'burger': 1})	supercat_unique	hamburger
2366130	1680114	ware	cutlery.n.02	http://object-naming-amore.upf.edu//2366130_1680114_singleton_obj.png	Counter({'spoon': 8, 'candles': 1})	singleton_obj	spoon
2344966	3268698	person	woman.n.01	http://object-naming-amore.upf.edu//2344966_3268698_supercat_unique.png	Counter({'#bbox': 3, 'person': 2, 'shirt': 2, 'woman': 1, 'arm': 1})	supercat_unique	woman
